title_raw,year,journal_raw,doi_raw,pais,adsorbente,analitos,qmax_mg_g,remocion_pct,isoterma,cinetica,phpzc,bet_m2g,ph_operacional,dosis_g_l,tipo_matriz,ciclos_regen,etiqueta,score
Urea-Functionalized MIL-101(Cr)@AC as a New Adsorbent to Remove Sulfacetamide in Wastewater Treatment,2020,Industrial and Engineering Chemistry Research,10.1021/acs.iecr.0c01037,china,Carbon activado,,,,Langmuir,PSO,,,,,,,INCLUIDO_ALTA,64
Cetyltrimethylammonium bromide functionalized silica nanoparticles (MSN) synthesis using a combined sol-gel and adsorption steps with enhanced adsorption performance of oxytetracycline in aqueous solution,2020,Journal of the Taiwan Institute of Chemical Engineers,10.1016/j.jtice.2020.07.008,malaysia,,Oxitetraciclina,,,,PSO,,,,,,,INCLUIDO_ALTA,91
Adsorption behavior of polyelectrolyte onto alumina and application in ciprofloxacin removal,2020,Polymers,10.3390/polym12071554,viet nam,,Ciprofloxacino,,,,PSO,,,,,,,INCLUIDO_ALTA,72
Adsorption removal of tetracycline from water using poly(vinylidene fluoride)/polyaniline-montmorillonite mixed matrix membranes,2020,Journal of the Taiwan Institute of Chemical Engineers,10.1016/j.jtice.2020.06.007,,Arcilla/Zeolita,Tetraciclina,,,Langmuir,,,,,,,,INCLUIDO_ALTA,46
Rational design and synthesis of molecularly imprinted polymers (MIP) for purifying tylosin by seeded precipitation polymerization,2020,Process Biochemistry,10.1016/j.procbio.2020.03.025,china,,,,,,,,,,,,,INCLUIDO_ALTA,19
Photocatalytic degradation of acetaminophen and codeine medicines using a novel zeolite-supported TiO2 and ZnO under UV and sunlight irradiation,2020,Environmental Science and Pollution Research,10.1007/s11356-020-09038-y,,Arcilla/Zeolita,,,,,,,,,,,4.0,INCLUIDO_ALTA,53
Nanocomposite material from TiO2 and activated carbon for the removal of pharmaceutical product sulfamethazine by combined adsorption/photocatalysis in aqueous media,2020,Environmental Science and Pollution Research,10.1007/s11356-020-08939-2,morocco,Carbon activado,,,,Freundlich,,,,,,,,INCLUIDO_ALTA,66
TiO2/P(AM-co-AMPS) monolith prepared by CO2-in-water HIPEs and its potential application in wastewater treatment,2020,Reactive and Functional Polymers,10.1016/j.reactfunctpolym.2020.104604,china,,Tetraciclina,,,,,,,,,,,INCLUIDO_ALTA,40
Adsorption characteristic of ciprofloxacin antibiotic onto synthesized alpha alumina nanoparticles with surface modification by polyanion,2020,Journal of Molecular Liquids,10.1016/j.molliq.2020.113150,viet nam,,Ciprofloxacino,,,,PSO,,6.08,,,,,INCLUIDO_ALTA,98
Removal of nonylphenol polyethoxylates by adsorption on polyurethane foam and biodegradation using immobilized Trametes versicolor,2020,Science of the Total Environment,10.1016/j.scitotenv.2020.138159,sweden,,,,90.0,Langmuir,,,,,,,,INCLUIDO_ALTA,42
Microwave-assisted preparation of ZnFe2O4@methyl cellulose as a new nano-biomagnetic photocatalyst for photodegradation of metronidazole,2020,International Journal of Biological Macromolecules,10.1016/j.ijbiomac.2020.03.069,,Nanocompuesto,,,,Langmuir,PFO,,,,,Sintetica,,INCLUIDO_ALTA,45
Application of Nanoscale Zero-Valent Iron-Loaded Natural Zeolite for Tetracycline Removal Process,2020,Chemical Engineering and Technology,10.1002/ceat.201900479,malaysia,Arcilla/Zeolita,Tetraciclina,,,Langmuir,PSO,,,,,,,INCLUIDO_ALTA,41
An advanced composite with ultrafast photocatalytic performance for the degradation of antibiotics by natural sunlight without oxidizing the source over TMU-5@Ni-Ti LDH: Mechanistic insight and toxicity assessment,2020,Inorganic Chemistry Frontiers,10.1039/d0qi00050g,,MOF,Sulfametoxazol,,,,,,,,,,5.0,INCLUIDO_ALTA,39
